"","LastName","FirstName","Party","State","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116"
"19","Bilirakis","Gus","R","FL",32500,1000,1000,1000,0,0,23700,0,0,0,0,0,53600,0,0,7000,0,7600
"20","Bishop","Mike","R","MI",24500,0,400,1000,0,0,20400,0,1000,0,0,0,NA,NA,NA,NA,NA,NA
"21","Bishop","Rob","R","UT",110600,7500,17750,11000,5750,3599,151516,8000,28750,25750,14750,2000,121188,16750,31750,7250,5700,0
"22","Bishop","Sanford","D","GA",9000,1000,6000,0,0,0,14000,3000,7000,0,0,1000,11750,2500,8500,1000,0,1000
"23","Black","Diane","R","TN",60625,1000,2000,5000,0,0,43250,0,0,3000,1000,1000,NA,NA,NA,NA,NA,NA
"24","Blackburn","Marsha","R","TN",101600,1000,4000,13500,0,0,85900,500,500,13500,0,0,NA,NA,NA,NA,NA,NA
"25","Blum","Rod","R","IA",6450,0,0,0,0,6250,21900,0,0,900,0,14050,NA,NA,NA,NA,NA,NA
"26","Blumenauer","Earl","D","OR",2500,0,0,2000,11250,8842,3900,0,0,3650,10650,17200,3532,0,0,3275,4838,16220
"27","Bonamici","Suzanne","D","OR",250,0,0,0,6390,3000,8150,0,0,2750,9358,0,3079,0,0,2564,2951,1500
"28","Bost","Mike","R","IL",30300,16900,16900,0,0,0,30250,27050,33400,2500,0,1000,56340,32250,86825,7899,0,18000
"29","Boustany","Charles Jr","R","LA",236350,0,0,38250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Boyle","Brendan","D","PA",11000,0,0,3000,4990,0,3750,0,0,3000,6899,0,6000,0,0,6000,2010,0
"31","Brady","Kevin","R","TX",321650,3000,3000,49950,0,1000,415650,0,0,82500,0,14700,377134,1000,1000,53450,0,19750
"32","Brady","Robert A","D","PA",18525,0,0,5000,0,0,28875,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"33","Brat","Dave","R","VA",24500,0,500,0,0,1000,7000,0,0,2000,0,2250,NA,NA,NA,NA,NA,NA
"34","Bridenstine","James","R","OK",72950,0,0,3500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Brooks","Mo","R","AL",5500,2500,2500,0,0,0,0,0,0,0,0,0,2250,2500,16000,0,500,4000
"36","Brooks","Susan","R","IN",40750,0,1000,1500,0,4000,35200,1750,2750,1000,2000,5000,21300,3000,9000,0,0,7500
"37","Brown","Corrine","D","FL",5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Brownley","Julia","D","CA",500,0,0,0,55362,1750,1143,90,90,50,25623,1425,1351,0,0,0,9201,505
"39","Buchanan","Vernon","R","FL",3000,0,0,3000,0,0,5500,0,0,2000,500,0,31750,0,0,0,0,1000
"40","Buck","Ken","R","CO",124450,2000,7600,15350,0,500,64950,2300,6300,5500,0,2500,44700,0,2500,6500,0,1000
"41","Bucshon","Larry","R","IN",20300,51050,98500,0,0,500,17000,19000,22500,0,0,5000,16200,21900,23900,1000,0,250
"42","Burgess","Michael","R","TX",67956,0,0,0,0,0,43100,0,0,0,0,0,35250,0,0,4000,0,5200
"43","Bustos","Cheri","D","IL",3000,0,0,2000,21946,16000,12140,0,0,4000,16006,17205,7870,3,3,1020,5929,19258
"44","Butterfield","G K","D","NC",17000,0,0,3000,1500,3500,15500,0,0,3000,2500,2000,11500,0,0,0,1763,2000
"45","Byrne","Bradley","R","AL",35250,20000,20000,5000,1000,0,33450,10400,10900,4000,0,0,19200,0,2000,1000,2700,0
"46","Calvert","Ken","R","CA",35000,1000,10000,2500,1000,500,62500,9500,20000,4000,0,7900,33500,0,2000,0,0,6400
"47","Capps","Lois","D","CA",3000,0,0,0,42000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Capuano","Michael E","D","MA",31250,0,0,11400,0,0,21500,0,1000,2100,1500,0,NA,NA,NA,NA,NA,NA
"49","Cardenas","Tony","D","CA",13500,0,0,10000,3000,250,24800,0,0,7300,6200,1500,24530,0,0,3000,1604,2000
"50","Carney","John","D","DE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Carson","Andre","D","IN",8750,0,0,0,0,0,1250,0,0,0,0,1000,2250,0,0,0,250,0
"52","Carter","Buddy","R","GA",33250,0,1000,1000,0,0,13500,0,0,1000,0,0,68400,0,6000,6000,2500,2250
"53","Carter","John","R","TX",49600,0,0,6000,0,0,16700,0,0,0,0,0,62350,0,1000,5500,0,5400
"54","Cartwright","Matt","D","PA",0,0,0,0,4000,0,2500,0,0,1000,13671,0,7502,0,0,0,19137,1000
"55","Castor","Kathy","D","FL",1500,0,0,1000,2500,250,0,0,0,0,3100,0,59,0,0,0,2253,0
"56","Castro","Joaquin","D","TX",43250,0,0,3000,4000,2900,25600,0,0,2500,2000,0,12890,0,0,0,4700,500
"57","Chabot","Steve","R","OH",14600,0,0,1000,0,0,2100,0,0,1000,750,0,20700,9250,53425,0,0,0
"58","Chaffetz","Jason","R","UT",39350,4000,8000,3250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Chu","Judy","D","CA",0,2500,2500,0,2000,0,0,0,0,0,3200,0,1000,0,0,0,2950,0
"60","Cicilline","David","D","RI",500,0,0,0,1000,4000,0,0,0,0,2000,1500,500,0,0,0,2000,0
"61","Clark","Katherine","D","MA",15400,0,300,12400,6375,1150,7503,0,0,1000,9575,1300,8206,0,0,0,5913,1000
"62","Clarke","Yvette","D","NY",0,0,0,0,0,0,2000,0,0,0,2000,0,1250,0,0,1000,2000,0
"63","Clawson","Curt","R","FL",1000,0,500,0,0,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Clay","William L Jr","D","MO",0,0,0,0,1000,0,4000,0,0,0,2000,0,0,2500,2500,0,1500,0
"65","Cleaver","Emanuel","D","MO",0,0,0,0,2000,0,1000,0,0,0,2000,0,0,0,0,0,2500,0
"66","Clyburn","James E","D","SC",9500,0,1000,2000,2500,1750,13430,0,0,3000,1250,1500,20006,0,0,5500,4750,2500
"67","Coffman","Mike","R","CO",372000,21200,44950,10750,2250,500,193244,15900,36250,4450,500,1000,NA,NA,NA,NA,NA,NA
"68","Cohen","Steve","D","TN",250,0,0,0,5250,0,0,0,0,0,500,500,3000,0,0,0,4500,0
"69","Cole","Tom","R","OK",123200,1000,2000,13000,0,2000,125750,17200,19200,13700,0,5000,119250,0,1000,35400,0,7493
"70","Coleman","Bonnie Watson","D","NJ",1000,0,0,0,9740,1000,1000,0,0,0,2500,0,2,0,0,0,5504,0
"71","Collins","Chris","R","NY",50800,0,0,17800,0,0,63950,0,0,22000,0,0,NA,NA,NA,NA,NA,NA
"72","Collins","Doug","R","GA",17250,0,500,2000,0,0,30250,0,0,1600,0,0,35000,0,500,2500,0,0
"73","Comstock","Barbara","R","VA",67300,8800,10800,12150,500,0,75975,4450,9450,19000,0,0,NA,NA,NA,NA,NA,NA
"74","Conaway","Mike","R","TX",263450,0,0,5000,0,5100,146547,3500,3500,250,0,1500,150500,0,0,1000,4750,1793
"75","Connolly","Gerry","D","VA",5000,0,0,3000,3000,0,3800,0,0,3750,4665,2000,2002,0,0,2000,1500,0
"76","Conyers","John Jr","D","MI",7500,0,0,0,595,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Cook","Paul","R","CA",4800,0,750,0,0,7100,18000,0,2750,13500,0,5400,21500,0,1450,14000,0,6400
"78","Cooper","Jim","D","TN",6200,0,0,1000,0,0,3500,0,0,1000,0,2700,6500,0,0,0,0,1250
"79","Costa","Jim","D","CA",99929,3000,10500,23999,3500,4000,95525,3500,6500,21000,2000,2000,98505,3500,12000,15000,3000,1000
"80","Costello","Ryan","R","PA",31500,0,6150,11500,0,0,36250,0,1500,9500,5400,1000,NA,NA,NA,NA,NA,NA
"81","Courtney","Joe","D","CT",3500,0,0,0,5750,0,3000,0,0,2000,5550,0,750,0,0,0,3100,0
"82","Cramer","Kevin","R","ND",272250,19400,24400,16500,0,2000,216200,26000,30000,23500,0,15000,NA,NA,NA,NA,NA,NA
"83","Crawford","Rick","R","AR",12800,0,0,2000,0,1000,6250,0,0,3000,0,0,7250,0,1000,1000,0,0
"84","Crenshaw","Ander","R","FL",7500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Crowley","Joseph","D","NY",5500,0,0,5500,6700,7575,18000,0,500,6000,3500,1285,NA,NA,NA,NA,NA,NA
"86","Cuellar","Henry","D","TX",135758,0,8000,16000,0,0,162952,1000,4800,22500,0,0,173919,1500,8000,17000,0,500
"87","Culberson","John","R","TX",92150,0,0,6000,0,0,133625,0,0,22825,0,0,NA,NA,NA,NA,NA,NA
"88","Cummings","Elijah E","D","MD",6850,0,0,0,3850,0,5000,0,0,0,5052,0,NA,NA,NA,NA,NA,NA
"89","Curbelo","Carlos","R","FL",17500,0,0,0,500,0,55400,0,0,4000,10750,4700,NA,NA,NA,NA,NA,NA
"90","Davidson","Warren","R","OH",0,0,0,0,0,0,5416,0,1002,25,100,0,10500,0,0,0,0,0
"91","Davis","Danny K","D","IL",2000,0,500,0,1000,1000,2000,0,0,0,1000,6000,3000,0,0,0,0,0
"92","Davis","Rodney","R","IL",85690,61665,110312,12500,0,17600,61750,5100,8100,15500,0,15000,73500,12600,16600,14500,0,31500
"93","Davis","Susan","D","CA",0,0,0,0,6500,0,0,0,0,0,5200,500,0,0,0,0,1500,1000
"94","DeFazio","Peter","D","OR",7000,0,0,1000,3140,500,5500,0,0,0,3112,0,14500,0,0,2500,2375,40
"95","DeGette","Diana","D","CO",1500,0,0,0,4500,250,0,0,1000,0,11150,0,6510,0,0,0,1500,0
"96","Delaney","John K","D","MD",2500,0,0,2500,5000,0,3500,0,0,3500,11438,0,NA,NA,NA,NA,NA,NA
"97","DeLauro","Rosa","D","CT",0,0,1400,0,5500,0,0,0,4575,0,5000,0,500,0,825,0,2850,500
"98","DelBene","Suzan","D","WA",10000,0,0,0,47301,1250,10000,0,0,0,33957,0,14011,0,0,0,23051,300
"99","Denham","Jeff","R","CA",71798,2500,10700,13000,0,0,189499,1000,6200,42999,0,2500,NA,NA,NA,NA,NA,NA
"100","Dent","Charlie","R","PA",54900,2000,4000,7500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","DeSantis","Ron","R","FL",22000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Desaulnier","Mark","D","CA",8000,0,0,0,5140,0,8000,0,0,0,3750,0,7175,0,0,0,650,1500
"103","Desjarlais","Scott","R","TN",2250,1000,1000,0,0,0,8400,800,800,0,0,0,12400,0,0,0,0,0
"104","Deutch","Ted","D","FL",0,0,0,0,1000,2000,3500,0,0,0,2500,0,2800,0,0,0,1700,2000
"105","Diaz-Balart","Mario","R","FL",3500,0,0,0,8000,0,6000,0,0,3500,1000,0,26500,0,0,0,0,0
"106","Dingell","Debbie","D","MI",14000,0,3000,6500,11076,0,14200,0,0,4000,5027,250,8000,0,0,1000,5903,250
"107","Doggett","Lloyd","D","TX",8150,0,0,-1000,4250,4250,10800,0,0,0,2750,3700,2706,0,0,0,4275,0
"108","Dold","Bob","R","IL",25350,2600,3600,7000,5900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Donovan","Dan","R","NY",0,0,0,0,0,0,26000,0,0,1000,0,0,NA,NA,NA,NA,NA,NA
"110","Doyle","Mike","D","PA",29000,5500,11000,13500,0,0,26000,0,1500,19000,2477,0,11500,0,500,8500,1500,250
"111","Duckworth","Tammy","D","IL",3750,-250,0,2500,27599,13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Duffy","Sean P","R","WI",36550,0,1000,0,0,0,22495,0,1000,2000,0,2500,NA,NA,NA,NA,NA,NA
"113","Duncan","Jeff","R","SC",51660,1000,1000,16500,5000,0,44750,0,0,10500,5000,0,73350,0,1000,5500,0,2000
"114","Duncan","John J Jr","R","TN",12500,2750,3750,0,0,0,12500,1500,1500,0,0,500,NA,NA,NA,NA,NA,NA
"115","Edwards","Donna","D","MD",3000,0,0,3000,8750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Ellison","Keith","D","MN",2750,0,0,500,7700,750,7663,0,0,0,17245,10,NA,NA,NA,NA,NA,NA
"117","Ellmers","Renee","R","NC",62250,1000,1000,10000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Emmer","Tom","R","MN",41400,500,500,0,0,0,10950,0,1000,300,0,8000,28500,0,2500,1500,0,27493
"119","Engel","Eliot","D","NY",2000,0,3600,0,2000,0,11200,0,2700,0,1000,1000,9150,0,2000,0,2000,2000
"120","Eshoo","Anna","D","CA",3000,0,0,1000,3210,11900,0,0,0,0,14500,4700,1000,0,0,0,1900,7700
"121","Esty","Elizabeth","D","CT",1000,0,1150,1000,61280,4600,3700,0,1600,3700,27659,1000,NA,NA,NA,NA,NA,NA
"122","Farenthold","Blake","R","TX",109325,0,1000,13000,6600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Farr","Sam","D","CA",250,0,0,0,17550,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Fincher","Steve","R","TN",34700,1000,2000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Fitzpatrick","Michael G","R","PA",26700,2000,2000,6000,8600,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Fleischmann","Chuck","R","TN",23400,2000,5000,4000,0,0,17200,3000,5000,4500,0,0,9000,0,1000,3500,0,0
"127","Fleming","John","R","LA",188000,0,11100,7000,16400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Flores","Bill","R","TX",213789,1000,7000,23500,2000,10400,223400,500,3500,17500,1000,0,188600,0,2500,22500,0,0
"129","Forbes","Randy","R","VA",10500,0,5200,2000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Fortenberry","Jeff","R","NE",800,0,0,0,0,2000,500,0,0,0,6400,2000,2500,0,0,0,5300,1000
"131","Foster","Bill","D","IL",15850,0,0,3100,29050,8950,19350,0,0,5400,28519,4200,7950,0,0,0,16500,9610
"132","Foxx","Virginia","R","NC",25050,3000,3000,5000,0,0,19250,2000,4500,5000,0,0,23950,19250,65325,2500,0,0
"133","Frankel","Lois","D","FL",5100,0,0,0,2000,0,1000,0,5,0,3910,0,2,0,0,0,2503,1
"134","Franks","Trent","R","AZ",12700,0,5000,5100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Frelinghuysen","Rodney","R","NJ",8050,2000,2000,3000,0,500,23000,2000,5000,5500,0,0,NA,NA,NA,NA,NA,NA
"136","Fudge","Marcia","D","OH",14950,0,0,1250,1000,0,-600,0,0,1000,1000,0,0,0,0,0,1000,0
"137","Gabbard","Tulsi","D","HI",2250,0,0,1000,2500,17150,6800,0,0,0,5000,8195,4193,0,15,10,16,939
"138","Gallego","Ruben","D","AZ",0,0,0,0,5641,1000,3000,0,0,1500,9960,11231,2503,0,0,1000,5210,11000
"139","Garamendi","John","D","CA",0,0,0,0,16094,5100,1000,0,0,1000,5327,6400,0,0,0,0,3000,2500
"140","Garrett","Scott","R","NJ",48600,0,0,8000,0,10625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Gibbs","Bob","R","OH",69800,14600,18100,20100,0,0,34000,2000,8000,2000,1000,3500,36250,14500,20500,6500,500,1000
"142","Gibson","Chris","R","NY",30950,0,0,7000,13200,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Gohmert","Louis B Jr","R","TX",47600,0,2000,2000,2000,0,23750,0,1000,1250,0,0,45300,0,0,250,0,0
"144","Goodlatte","Bob","R","VA",45250,0,1000,3250,0,0,39950,0,0,5450,0,0,NA,NA,NA,NA,NA,NA
"145","Gosar","Paul","R","AZ",12500,2000,14000,1500,500,2000,6000,3000,23750,1000,250,250,18600,5500,35125,0,0,3000
"146","Gowdy","Trey","R","SC",20000,0,0,5500,0,0,28700,0,0,1000,0,0,NA,NA,NA,NA,NA,NA
"147","Graham","Gwen","D","FL",2250,0,0,0,61120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Granger","Kay","R","TX",83850,0,2000,0,0,0,72350,0,0,0,0,1000,70900,0,0,2500,0,1000
"149","Graves","Garret","R","LA",122035,0,6000,8250,28000,0,169499,0,7250,35000,20550,2500,193801,2000,8500,64301,3700,2000
"150","Graves","Sam","R","MO",21000,1000,3000,2000,0,6000,16500,1000,1000,3000,0,7000,39300,0,2000,7000,0,8500
"151","Graves","Tom","R","GA",23200,0,9550,1000,0,0,33800,0,20700,3000,0,0,NA,NA,NA,NA,NA,NA
"152","Grayson","Alan","D","FL",1450,0,0,0,8983,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Green","Al","D","TX",11600,0,2500,0,0,0,24200,0,0,0,0,0,4956,0,0,2700,0,1000
"154","Green","Gene","D","TX",102350,1000,1000,23100,0,0,107700,0,0,41500,0,0,NA,NA,NA,NA,NA,NA
"155","Griffith","Morgan","R","VA",56300,35400,42150,5000,0,0,38568,26100,32850,3500,0,0,36350,31300,33300,5500,0,250
"156","Grijalva","Raul M","D","AZ",0,0,0,0,10801,0,3,0,0,0,17218,501,238,0,0,0,23210,50
"157","Grisham","Michelle Lujan","D","NM",18700,0,0,0,4250,1750,11750,0,5000,0,5500,2500,NA,NA,NA,NA,NA,NA
"158","Grothman","Glenn","R","WI",8000,0,500,0,0,0,22150,0,0,0,0,500,34950,0,0,0,0,1000
"159","Guinta","Frank","R","NH",32050,0,250,1000,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Guthrie","Brett","R","KY",64750,14600,18850,8750,0,0,57500,11700,12700,8000,0,0,48050,2500,8500,4500,0,0
"161","Gutierrez","Luis V","D","IL",0,0,0,0,1000,0,0,0,0,0,2117,0,NA,NA,NA,NA,NA,NA
"162","Hahn","Janice","D","CA",4000,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Hanabusa","Colleen","D","HI",0,0,0,0,0,0,3500,0,0,0,0,2000,NA,NA,NA,NA,NA,NA
"164","Hanna","Richard","R","NY",7100,0,0,3600,0,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Hardy","Cresent","R","NV",2500,0,5000,2500,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Harper","Gregg","R","MS",136300,3000,3000,12500,0,0,60550,0,1000,8500,0,0,NA,NA,NA,NA,NA,NA
"167","Harris","Andy","R","MD",38000,2500,6500,2250,0,0,20500,2000,5000,2000,250,0,12750,2000,4000,0,0,0
"168","Hartzler","Vicky","R","MO",11350,8200,8200,1000,0,7600,9400,2000,2000,3000,0,-2500,13800,1000,1000,2000,0,3500
"169","Hastings","Alcee","D","FL",0,0,0,0,300,0,0,0,0,0,2000,0,0,0,0,0,0,0
"170","Heck","Dennis","D","WA",3100,0,0,100,11250,5000,1000,0,0,0,8250,3000,4000,0,0,0,7250,250
"171","Heck","Joe","R","NV",37900,2600,18000,6000,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Hensarling","Jeb","R","TX",95800,0,10400,15200,0,0,70000,0,0,8900,0,0,NA,NA,NA,NA,NA,NA
"173","Hice","Jody","R","GA",4500,0,4350,0,0,5000,5000,0,3000,2000,2000,2600,7000,0,15967,0,0,6900
"174","Higgins","Brian M","D","NY",7000,0,0,5000,0,0,9850,0,0,8850,1000,3500,13100,0,0,10100,0,1000
"175","Hill","French","R","AR",94600,0,0,7460,250,0,34950,0,0,7700,750,0,45900,0,0,2000,500,0
"176","Himes","Jim","D","CT",6750,0,2750,6500,10700,2600,3000,0,2600,3000,5209,25,2001,0,2000,1000,7456,0
"177","Hinojosa","Ruben","D","TX",14500,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Holding","George","R","NC",12350,0,0,2500,0,2600,54082,1000,1000,5500,0,22700,72950,0,0,2000,0,22800
"179","Honda","Mike","D","CA",3350,0,700,0,27117,3925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Hoyer","Steny H","D","MD",49750,0,-1000,15500,5000,9000,40500,0,0,15000,2288,4500,43750,0,0,9500,4500,2000
"181","Hudson","Richard","R","NC",52250,0,4500,10500,0,0,90900,0,3500,15200,0,0,85700,0,7000,5500,0,1000
"182","Huelskamp","Tim","R","KS",73550,0,0,4250,0,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Huffman","Jared","D","CA",9900,0,0,9500,22550,950,5000,120,120,5000,27849,1025,3500,0,0,2500,37033,1000
"184","Huizenga","Bill","R","MI",15150,0,0,0,0,0,17750,0,1000,0,0,0,46175,0,0,0,0,0
"185","Hultgren","Randy","R","IL",21250,1000,1000,10000,0,250,18000,1000,1000,11000,0,0,NA,NA,NA,NA,NA,NA
"186","Hunter","Duncan D","R","CA",11100,0,2000,0,3000,0,10500,0,0,1000,0,0,NA,NA,NA,NA,NA,NA
"187","Hurd","Will","R","TX",115873,0,0,2600,0,250,337089,1000,3500,20900,0,2950,461594,8200,8450,51950,0,3400
"188","Hurt","Robert","R","VA",17750,10400,12050,6000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Israel","Steve","D","NY",31900,0,0,8000,11500,22700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Issa","Darrell","R","CA",82400,1800,12650,11350,0,4250,45000,1000,2000,16100,0,0,NA,NA,NA,NA,NA,NA
"191","Jackson Lee","Sheila","D","TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Jeffries","Hakeem","D","NY",0,0,0,0,200,1000,1000,0,0,0,2000,0,0,0,0,0,2250,25
"193","Jenkins","Evan","R","WV",50416,103700,205433,0,0,0,42600,28600,51200,3000,0,0,NA,NA,NA,NA,NA,NA
"194","Jenkins","Lynn","R","KS",147950,5200,16600,36500,0,3600,88700,0,13300,11000,0,6750,NA,NA,NA,NA,NA,NA
"195","Johnson","Bill","R","OH",213266,78856,141519,35100,1000,3500,127950,25800,38800,40000,1000,12500,124050,53140,90870,25200,0,2500
"196","Johnson","Eddie Bernice","D","TX",8570,0,0,3500,1000,1000,4000,0,0,0,2500,0,3756,0,0,0,2000,0
"197","Johnson","Hank","D","GA",500,0,0,0,2500,0,0,0,0,0,3500,0,0,0,0,0,500,0
"198","Johnson","Sam","R","TX",46900,0,0,9600,0,0,37050,0,0,5700,0,1000,NA,NA,NA,NA,NA,NA
"199","Jolly","David","R","FL",30400,0,0,0,1250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Jones","Walter B Jr","R","NC",6350,0,0,1500,0,0,13500,0,0,500,0,0,NA,NA,NA,NA,NA,NA
"201","Jordan","Jim","R","OH",23400,3000,6000,4000,0,0,16000,0,2000,1000,0,0,16000,0,1000,0,0,0
"202","Joyce","David P","R","OH",51300,22000,34200,9200,7500,2000,29850,13900,38100,3500,3000,2200,40600,22200,36875,7000,3000,6400
"203","Kaptur","Marcy","D","OH",10500,0,4000,3000,1000,8000,8500,0,2000,4000,1000,3000,4500,0,7500,3500,1000,0
"204","Katko","John","R","NY",14450,0,0,1000,0,0,64950,0,0,9000,250,1000,122590,0,0,18552,0,0
"205","Keating","Bill","D","MA",5850,0,0,2500,2000,250,8250,0,0,3000,4000,0,6250,0,0,2500,1850,100
"206","Kelly","Mike","R","PA",89850,45200,60150,34950,0,0,76412,37100,40850,21412,0,0,85100,27500,34550,24000,0,1500
"207","Kelly","Robin","D","IL",1750,0,0,0,1000,0,5500,0,0,0,2000,500,3000,0,0,0,0,0
"208","Kelly","Trent","R","MS",0,0,0,0,0,0,27450,2700,2700,3000,0,0,29087,350,350,1000,0,0
"209","Kennedy","Joe III","D","MA",7800,0,0,7800,20000,750,15600,0,0,2000,19750,2750,13875,0,15,1015,21485,6655
"210","Kildee","Dan","D","MI",3500,0,0,0,4235,800,500,0,0,0,3573,1500,0,0,0,0,4000,0
"211","Kilmer","Derek","D","WA",7500,0,0,0,43767,4050,5950,0,0,0,38079,250,12375,0,0,0,25613,0
"212","Kind","Ron","D","WI",5500,0,0,1000,3500,13000,7500,0,0,1000,4775,2000,7500,0,0,3000,1800,12375
